Ra,Degree
0.09770209335762946,176.0
0.10461163283822389,177.0
0.11797640477271759,178.0
0.11923055125177179,179.0
0.11164980916293556,180.0
0.10969698831912511,181.0
0.1065644218093968,182.0
0.10538366929737707,183.0
0.10577481552428458,184.0
0.11455081271454212,185.0
0.11301560838131618,186.0
0.09912921819978457,187.0
0.1030982490753081,188.0
0.10292671698898095,189.0
0.11299743363340255,190.0
0.11313811922962509,191.0
0.10640062017034127,192.0
0.1025587374497158,193.0
0.11585649682936652,194.0
0.11372297342915269,195.0
0.11580699804337616,196.0
0.11211214872674113,197.0
0.11020544662346479,198.0
0.10893880653789573,199.0
0.10820331599515248,200.0
0.10485828609679751,201.0
0.11711152411770148,202.0
0.1170525041816389,203.0
0.1176147745930157,204.0
0.12997534532091806,205.0
0.12862520605685507,206.0
0.12368137796739734,207.0
0.12069507399297455,208.0
0.11025715007753768,209.0
0.1141414489801706,210.0
0.12219998094538238,211.0
0.1322979840858136,212.0
0.13156221223583883,213.0
0.12500526280920118,214.0
0.1223875765219625,215.0
0.13099928008572698,216.0
0.13785212118280168,217.0
0.13553942354248544,218.0
0.14720003299886916,219.0
0.18163458237758928,220.0
0.19114550563887994,221.0
0.18038215459164067,222.0
0.17413311926341535,223.0
0.16815875789228857,224.0
0.17011854044257835,225.0
0.1553178332588181,226.0
0.12776753342481953,227.0
0.11845120803082593,228.0
0.1033248335586784,229.0
0.09235648276419776,230.0
0.09031352230306255,231.0
0.08111818185950172,232.0
0.07537759343756374,233.0
0.06766504815289145,234.0
0.07181938853186877,235.0
0.07147660290937365,236.0
0.06193800537204501,237.0
0.05900378349681888,238.0
0.056863637554775304,239.0
0.052857475957752316,240.0
0.05701188415959384,241.0
0.05409809765265243,242.0
0.04478475093323549,243.0
0.04143530389932563,244.0
0.04458508555719951,245.0
0.04368704693999366,246.0
0.045023065728219944,247.0
0.04649232778605867,248.0
0.04814768999746684,249.0
0.04660313883414111,250.0
0.04469679687429657,251.0
0.05174252527132414,252.0
0.054437957476106066,253.0
0.05590187029760768,254.0
0.05473226607497246,255.0
0.058925905100932194,256.0
0.052121799309715916,257.0
0.04580804813073265,258.0
0.04250485915784186,259.0
0.041277610677810155,260.0
0.03581543732243217,261.0
0.04231090714999905,262.0
0.04249561222291078,263.0
0.040373982161030365,264.0
0.03764820815242505,265.0
0.03561462047683115,266.0
0.035510025365188706,267.0
0.03430418554913768,268.0
0.032017134219969885,269.0
0.031460577892334564,270.0
0.0284841519473666,271.0
0.026668832074720865,272.0
0.02495693386939008,273.0
0.02205661840120869,274.0
0.02161277802178114,275.0
0.022350890016916522,276.0
0.023097534445291952,277.0
